id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Sermon,Red Clay Trio,blues,melancholic,0.52,88,0.38,0.55,0.76
12,Neon Samurai,Katana Grid,hip-hop,confident,0.85,96,0.62,0.91,0.08
13,Cathedral Echo,Pale Hymn,classical,peaceful,0.22,66,0.74,0.31,0.97
14,Bonfire Circle,The Drifters,folk,nostalgic,0.44,104,0.69,0.57,0.88
15,Rage Protocol,Iron Void,metal,angry,0.97,178,0.22,0.48,0.03
16,Pastel Daydream,Ivory Bloom,dream pop,romantic,0.55,100,0.88,0.70,0.52
17,Jungle Frequency,Basstone,reggae,uplifting,0.63,82,0.80,0.76,0.41
18,Static Memory,Greywire,electronic,anxious,0.78,140,0.33,0.84,0.06
19,Candlelight Duo,Maren Sol,soul,intimate,0.39,74,0.77,0.61,0.83
20,Velocity Zero,Sunken Atlas,rnb,sensual,0.61,92,0.72,0.79,0.29
